Selected GPU: 4
Using device: cuda:4
ACC ON: 3317977
ACC OFF: 5747608
Epoch 144/200 | Loss: 0.3340 | Acc: 0.7527 | Prec: 0.6106 | Recall: 0.8946 | F1: 0.7258
Epoch 145/200 | Loss: 0.3340 | Acc: 0.7515 | Prec: 0.6090 | Recall: 0.8958 | F1: 0.7251
Epoch 146/200 | Loss: 0.3340 | Acc: 0.7520 | Prec: 0.6097 | Recall: 0.8955 | F1: 0.7255
Epoch 147/200 | Loss: 0.3339 | Acc: 0.7537 | Prec: 0.6120 | Recall: 0.8926 | F1: 0.7261
Epoch 148/200 | Loss: 0.3340 | Acc: 0.7526 | Prec: 0.6105 | Recall: 0.8941 | F1: 0.7256
Epoch 149/200 | Loss: 0.3340 | Acc: 0.7507 | Prec: 0.6079 | Recall: 0.8970 | F1: 0.7247
Epoch 150/200 | Loss: 0.3340 | Acc: 0.7523 | Prec: 0.6101 | Recall: 0.8948 | F1: 0.7256
Epoch 151/200 | Loss: 0.3340 | Acc: 0.7527 | Prec: 0.6107 | Recall: 0.8942 | F1: 0.7257
Epoch 152/200 | Loss: 0.3340 | Acc: 0.7514 | Prec: 0.6090 | Recall: 0.8958 | F1: 0.7251
Epoch 153/200 | Loss: 0.3340 | Acc: 0.7506 | Prec: 0.6081 | Recall: 0.8951 | F1: 0.7242
Epoch 154/200 | Loss: 0.3339 | Acc: 0.7518 | Prec: 0.6095 | Recall: 0.8954 | F1: 0.7253
Epoch 155/200 | Loss: 0.3339 | Acc: 0.7521 | Prec: 0.6098 | Recall: 0.8951 | F1: 0.7254
Epoch 156/200 | Loss: 0.3339 | Acc: 0.7512 | Prec: 0.6087 | Recall: 0.8961 | F1: 0.7249
Epoch 157/200 | Loss: 0.3340 | Acc: 0.7535 | Prec: 0.6118 | Recall: 0.8928 | F1: 0.7261
Epoch 158/200 | Loss: 0.3339 | Acc: 0.7521 | Prec: 0.6098 | Recall: 0.8954 | F1: 0.7255
Epoch 159/200 | Loss: 0.3339 | Acc: 0.7529 | Prec: 0.6109 | Recall: 0.8940 | F1: 0.7258
Epoch 160/200 | Loss: 0.3339 | Acc: 0.7508 | Prec: 0.6082 | Recall: 0.8960 | F1: 0.7246
